Formula,Band gap (G₀W₀)
Al2O2,2.568
Al2S2,3.8485
Al2Se2,3.6375
Al2Te2,3.016
AlAs,2.986
AlSb,2.558
As4,1.797
AsB,1.477
AsBrS,2.5125
AsBrSe,2.3885
AsBrTe,2.0949999999999998
AsClS,2.8635
AsClSe,2.6925
AsClTe,2.3994999999999997
AsIS,1.7254999999999998
AsISe,1.665
AsITe,1.443
Au2O2,0.97
BN,7.117
BP,1.802
BSb,0.635
BaBr2,7.284
BaCl2,8.6955
Bi2O2,1.186
BiBrS,2.5004999999999997
BiBrSe,2.1805
BiBrTe,1.661
BiClS,2.7535
BiClSe,2.407
BiClTe,1.706
BiIS,1.8875
BiISe,1.7295
BiITe,1.4104999999999999
Br2Ge,4.209
BrSSb,2.513
BrSbSe,2.3680000000000003
BrSbTe,2.1615
C2F2,7.198
C2H2,6.416
CF2Si,5.118
CH2Si,6.355
CaBr2,8.0225
CaCl2,9.3565
CaF2,11.372
CaI2,6.416
CdBr2,5.4433333333333325
CdCl2,6.521999999999999
CdF2,8.265
CdI2,3.684
Cl2Ge,4.845
ClSSb,2.7954999999999997
ClSbSe,2.63
ClSbTe,2.366
CoBr2,1.401
CrO2,1.23
CrS2,1.448
CrSSe,1.294
CrSTe,0.697
CrSe2,1.165
CrSeTe,0.974
CrTe2,0.812
Cu2Br2,3.2855
Cu2Cl2,3.448
Cu2I2,3.504
Cu2S2,1.584
F2Ge,4.317
F2Ge2,0.35
F2Si2,2.333
FeBr2,1.1085
FeCl2,1.3210000000000002
FeI2,1.256
Ga2O2,3.851
Ga2S2,4.087
Ga2Se2,3.388
Ga2Te2,2.617
GaAs,2.49
GaN,4.465
GaP,3.273
Ge2H2,2.353
Ge2S2,3.03
Ge2Se2,1.861
Ge2Te2,1.286
GeI2,3.348
GeO,3.839
GeO2,6.287333333333333
GeS,4.183
GeS2,2.9684999999999997
GeSe,3.72
GeTe,2.647
H2Si2,3.833
HfBr2,1.759
HfBrCl,1.926
HfBrI,1.612
HfCl2,2.092
HfClI,1.783
HfI2,1.421
HfO2,6.675666666666667
HfS2,2.882
HfSSe,2.175
HfSe2,1.9515000000000002
HfSeTe,0.738
HfTe2,0.809
HgBr2,3.5425
HgCl2,4.404
HgI2,2.3315
HgTe,0.028
ISSb,2.0345
ISbSe,1.9809999999999999
ISbTe,1.7269999999999999
In2O2,1.867
In2S2,3.1174999999999997
In2Se2,2.74
In2Te2,2.362
InAs,1.687
InN,1.914
InP,2.3
InSb,1.307
Ir2O2,0.234
Ir2S2,0.108
Ir2Se2,0.439
MgBr2,7.109
MgCl2,8.9045
MgI2,5.3325
MnBr2,3.797
MnCl2,5.398
MnO2,3.192
MoO2,2.317
MoOS,2.304
MoOSe,1.979
MoS2,2.533
MoSSe,2.328
MoSTe,1.988
MoSe2,2.119
MoSeTe,1.844
MoTe2,1.563
NiBr2,2.611
NiCl2,3.413
NiO2,2.346
NiS2,1.868
OsBr2,2.463
OsCl2,2.881
OsI2,2.235
P4,2.025
Pb2S2,2.225
Pb2Se2,1.623
Pb2Te2,1.246
PbBr2,4.3215
PbCl2,5.0885
PbI2,3.281
PbO,3.609
PbO2,3.0115
PbS,3.426
PbS2,1.763
PbSe,2.935
PbSe2,0.389
PbTe,2.059
Pd2F2,2.128
PdCl2,2.512
PdO2,2.903
PdS2,2.441
PdSe2,1.615
Pt2Cl2,2.43
PtCl2,2.37
PtO2,3.593
PtS2,2.945
PtSe2,2.381
PtTe2,1.242
Rh2Se2,0.31
RuBr2,2.403
RuCl2,1.9575
RuI2,1.988
S2Si,3.246
S2Si2,2.884
Sc2O2,1.355
Sc2S2,1.004
Sc2Se2,0.851
Sc2Te2,0.556
ScH2,0.77
ScO2,4.421
ScS2,2.744
Se2Si,1.803
Se2Si2,2.438
Si2Te2,0.772
Sn2H2,1.043
Sn2S2,2.503
Sn2Se2,1.629
Sn2Te2,1.009
SnBr2,4.1355
SnCl2,4.6625
SnF2,4.388
SnI2,3.322
SnO,3.279
SnO2,4.431333333333334
SnS,3.912
SnS2,2.719
SnSe,3.665
SnSe2,1.912
SnTe,2.724
SrBr2,7.8955
SrCl2,8.9925
SrF2,10.855
SrI2,6.198
Ti2Te2,0.3425
TiBr2,1.421
TiBrCl,1.473
TiBrI,1.198
TiCl2,1.636
TiClI,1.383
TiI2,1.09
TiO2,5.4750000000000005
TiS2,2.829
TiSSe,1.333
TiSe2,1.481
Tl2S2,1.6175
Tl2Se2,1.322
V2S2,0.366
V2Se2,0.572
V2Te2,0.547
VBr2,3.35
VCl2,3.459
VSe2,0.179
VTe2,4.001
WO2,2.706
WOSe,2.445
WOTe,1.453
WS2,2.532
WSSe,2.314
WSTe,2.065
WSe2,2.104
WSeTe,1.8
WTe2,1.377
YBr2,1.574
YCl2,1.852
Zn2S2,4.691
ZnBr2,5.657333333333334
ZnCl2,7.156333333333333
ZnF2,9.553
ZnI2,3.815
Zr2Te2,0.592
ZrBr2,1.737
ZrBrCl,1.878
ZrBrI,1.59
ZrCl2,1.993
ZrClI,1.744
ZrI2,1.428
ZrO2,6.555666666666667
ZrS2,2.8165
ZrSSe,2.206
ZrSTe,0.735
ZrSe2,1.9369999999999998
ZrSeTe,0.895
ZrTe2,0.906
